,BTC,Date,bitcoin
245,3,2014-04-06,5
246,4,2014-03-30,6
247,3,2014-03-23,8
248,4,2014-03-16,15
249,5,2014-03-09,10
250,3,2014-03-02,28
251,7,2014-02-23,19
252,3,2014-02-16,15
253,7,2014-02-09,20
254,9,2014-02-02,13
255,5,2014-01-26,13
256,5,2014-01-19,17
257,5,2014-01-12,15
258,9,2014-01-05,25
259,7,2013-12-29,31
